frame,pred_count,prey_count,total count
1524,13,27,40
1525,14,26,40
1526,15,25,40
1527,15,25,40
1528,16,24,40
1529,16,24,40
1530,16,24,40
1531,16,24,40
1532,16,24,40
1533,16,24,40
1534,16,24,40
1535,16,24,40
1536,16,24,40
1537,16,24,40
1538,16,23,39
1539,16,23,39
1540,16,23,39
1541,16,23,39
1542,16,23,39
1543,16,23,39
1544,16,23,39
1545,16,23,39
1546,16,23,39
1547,16,23,39
1548,16,23,39
1549,16,23,39
1550,16,23,39
1551,16,23,39
1552,16,23,39
1553,16,23,39
1554,16,23,39
1555,16,23,39
1556,16,23,39
1557,16,23,39
1558,16,23,39
1559,16,23,39
1560,16,23,39
1561,16,24,40
1562,16,24,40
1563,16,24,40
1564,16,24,40
1565,16,24,40
1566,16,24,40
1567,16,24,40
1568,16,24,40
1569,16,24,40
1570,16,24,40
1571,16,24,40
1572,16,24,40
1573,16,24,40
1574,16,24,40
1575,16,24,40
1576,16,24,40
1577,16,24,40
1578,16,24,40
1579,16,24,40
1580,16,24,40
1581,16,24,40
1582,16,24,40
1583,16,24,40
1584,16,24,40
1585,16,24,40
1586,16,24,40
1587,16,24,40
1588,16,24,40
1589,15,24,39
1590,15,24,39
1591,15,24,39
1592,15,24,39
1593,15,24,39
1594,15,24,39
1595,15,24,39
1596,15,24,39
1597,15,24,39
1598,15,24,39
1599,15,24,39
1600,15,24,39
1601,15,24,39
1602,15,24,39
1603,15,25,40
1604,15,25,40
1605,15,25,40
1606,15,25,40
1607,15,25,40
1608,15,25,40
1609,15,25,40
1610,15,26,41
1611,15,26,41
1612,15,27,42
1613,15,27,42
1614,15,26,41
1615,15,26,41
1616,15,26,41
1617,15,26,41
1618,15,26,41
1619,15,26,41
1620,15,26,41
1621,15,26,41
1622,15,27,42
1623,15,27,42
1624,14,27,41
1625,14,27,41
1626,14,27,41
1627,13,27,40
1628,13,27,40
1629,12,27,39
1630,12,27,39
1631,12,27,39
1632,12,27,39
1633,12,27,39
1634,12,27,39
1635,12,27,39
1636,12,27,39
1637,12,28,40
1638,13,27,40
1639,12,27,39
1640,12,27,39
1641,12,27,39
1642,12,27,39
1643,12,27,39
1644,12,27,39
1645,12,27,39
1646,12,27,39
1647,12,27,39
1648,12,27,39
1649,12,27,39
1650,12,27,39
1651,12,27,39
1652,12,27,39
1653,12,27,39
1654,12,27,39
1655,12,29,41
1656,12,29,41
1657,12,29,41
1658,12,29,41
